LICENSE,TRADE_NAME,APPLICANT,CLASS,ENDORSEMEN,ADDRESS,ADDRID,X,Y,DESCRIPTIO
ABRA-080006,Mott's Market,"CHO'S FAMILY MARKET, INC.",,None,233 12TH STREET SE,48415.00000000,400821.22000000,135428.22000000,Retail - Grocery
ABRA-080584,Casa Lebrato,"Yoon Casa Lebrato, Inc.",B,None,1733 COLUMBIA ROAD NW,235942.00000000,396513.80000000,139638.36000000,Retail - Grocery
ABRA-080635,El Gavilan Grocery,El Gavilan LLC,B,None,1646 COLUMBIA ROAD NW,235891.00000000,396677.73000000,139699.54000000,Retail - Grocery
ABRA-081091,Saba One Stop Delicatessen Convenience Store,"One Stop, Inc.",B,None,1364 FLORIDA AVENUE NE,307229.00000000,401215.64000000,137030.90000000,Retail - Grocery
ABRA-082296,Menick's Market,"CK Nanne, Inc.",B,None,4401 NANNIE HELEN BURROUGHS AVENUE NE,288190.00000000,405297.36000000,136941.20000000,Retail - Grocery
ABRA-010660,Family Market,Kang Young J. & Kang In S.,B,None,1309 5TH STREET NE,301991.00000000,400203.80000000,137872.89000000,Retail - Grocery
ABRA-013885,M L K Deli,Vincent H. Covert,B,None,3113 MARTIN LUTHER KING JR AVENUE SE,40211.00000000,400016.98000000,130639.14000000,Retail - Grocery
ABRA-060011,Todito Grocery,"Ferrol, Inc",B,None,1813 COLUMBIA ROAD NW,300757.00000000,396222.65000000,139354.42000000,Retail - Grocery
ABRA-060496,Roha Liquors,"LAL, Inc.",A,None,620 KENNEDY STREET NW,246753.00000000,398107.87000000,143145.69000000,Retail - Liquor Store
ABRA-060751,Rosebud Liquor,"Rosebud Liquor, Inc.",A,"Tasting,",1711 17TH STREET NW,241974.00000000,396686.93000000,138345.75000000,Retail - Liquor Store
ABRA-060822,Rose's Liquor,"Yi Kheng Ung Liquors, LLC",A,"Tasting,",830 BLADENSBURG ROAD NE,81066.00000000,401489.26000000,137081.15000000,Retail - Liquor Store
ABRA-088640,S & G Wine & Liquors,"S & G Enterprise II, LLC",A,"Tasting,",5421 GEORGIA AVENUE NW,254615.00000000,397595.00000000,143101.81000000,Retail - Liquor Store
ABRA-009122,S & J Liquors,"Watson Deli, Inc.",A,None,1500 MASSACHUSETTS AVENUE SE,62558.00000000,401437.19000000,135497.46000000,Retail - Liquor Store
ABRA-017108,S & P Wine & Liquors,"Samuel Peyton Davis Sr, Inc.",A,None,2316 PENNSYLVANIA AVENUE SE,48603.00000000,402462.24000000,134053.84000000,Retail - Liquor Store
ABRA-060716,S & R Liquors,"S. R. Brothers, Inc",A,"Tasting,",1800 I STREET NW,240966.00000000,396360.72000000,137032.91000000,Retail - Liquor Store
ABRA-010963,S & W Liquors,"K H&C, Inc.",A,None,1428 9TH STREET NW,225530.00000000,397902.29000000,137959.09000000,Retail - Liquor Store
ABRA-072300,S&S Liquors,"Kochhar, Inc.",A,"Tasting,",6925 4TH STREET NW,251670.00000000,398461.19000000,145179.47000000,Retail - Liquor Store
ABRA-002195,Safeway,Safeway Inc.,A,None,415 14TH STREET SE,26239.00000000,401167.04000000,135078.34000000,Retail - Liquor Store
ABRA-078174,Sammys Liquor,"Y&D&S, Inc.",A,"Tasting,",2725 BLADENSBURG ROAD NE,45109.00000000,403016.84000000,139664.21000000,Retail - Liquor Store
ABRA-000178,Sav-on Liquors,Sav-on Liquors Inc.,A,None,1414 14TH STREET NW,218119.00000000,397205.15000000,137947.82000000,Retail - Liquor Store
ABRA-000252,Schneider's of Capitol Hill,"Schneiders Liquor Co., Inc",A,"Tasting,",300 MASSACHUSETTS AVENUE NE,287345.00000000,399883.21000000,136309.46000000,Retail - Liquor Store
ABRA-060026,Serv-u-liquors,"Beletesh, Ltd",A,None,1935 9TH STREET NW,243152.00000000,397939.75000000,138757.44000000,Retail - Liquor Store
ABRA-070948,Seymours Liquors,"JCP Liquors, Inc.",A,None,5581 CENTRAL AVENUE SE,288681.00000000,407024.57000000,135308.68000000,Retail - Liquor Store
ABRA-060563,Sheffield Wine And Liquors,Arlington Beverage Corp,A,None,5025 CONNECTICUT AVENUE NW,285049.00000000,393947.62000000,143090.26000000,Retail - Liquor Store
ABRA-086022,Sherry's Wine and Spirits,Krishna Corporation,A,"Tasting,",2627 CONNECTICUT AVENUE NW,219099.00000000,395532.10000000,139611.96000000,Retail - Liquor Store
ABRA-085215,Shipley Liquors,"H & M Liquors, Inc.",A,None,2281 SAVANNAH STREET SE,302046.00000000,402484.33000000,131092.19000000,Retail - Liquor Store
ABRA-060659,Shulman Liquors,"Lucky Time Liquors, LLC",A,None,1550 1ST STREET SW,60745.00000000,398972.59000000,133674.20000000,Retail - Liquor Store
ABRA-014341,Silvermans Liquors,"Silverman's-Mun Liquors, Inc",A,None,2033 BENNING ROAD NE,52300.00000000,402222.87000000,136717.05000000,Retail - Liquor Store
ABRA-078204,Skip's Liquors,"Skip's Liquors, LLC",A,None,405 61ST STREET NE,27321.00000000,407512.62000000,136342.94000000,Retail - Liquor Store
ABRA-072301,Sosnick's Liquor,"Sylvia & David Industries, Inc",A,None,2318 4TH STREET NE,48629.00000000,399929.91000000,139221.35000000,Retail - Liquor Store
ABRA-016866,South Capitol Liquors,"4652 Livingston, Inc.",A,"Tasting,",4652 LIVINGSTON ROAD SE,276657.00000000,399860.66000000,128300.60000000,Retail - Liquor Store
ABRA-087100,Southern Express Liquors,"CSB, LLC",A,None,4416 SOUTHERN AVENUE SE,278505.00000000,405657.56000000,133945.18000000,Retail - Liquor Store
ABRA-086591,Southern Wine & Spirits-F.P. Winner of Maryland and DC,Southern Wine & Spirits-F.P.Winner of Maryland LLC,A,None,3125 V STREET NE,150626.00000000,403182.24000000,138948.95000000,Wholesaler
ABRA-080850,Spar Liquors,"Son's Spar Liquors, LLC",A,None,3916 SOUTH CAPITOL STREET SE,29345.00000000,399311.17000000,129395.33000000,Retail - Liquor Store
ABRA-082037,Speakeasy Spirits,"Speakeasy Spirits, LLC",A,None,175 R STREET NE,300028.00000000,399642.96000000,138283.29000000,Wholesaler
ABRA-070310,Sportsman Wine And Liquors,"Sunami, LLC",A,"Tasting,",3249 MOUNT PLEASANT STREET NW,284620.00000000,396658.36000000,140480.38000000,Retail - Liquor Store
ABRA-071601,Stanton Liquors,"Yoef, Inc.",A,None,1044 BLADENSBURG ROAD NE,74860.00000000,401612.66000000,137303.06000000,Retail - Liquor Store
ABRA-088025,State Liquors,Deccan Group LLC,A,"Tasting,",2159 P STREET NW,225945.00000000,395791.66000000,137997.15000000,Retail - Liquor Store
ABRA-088222,Stop  & Shop Liquors,NDA INCORPORATED,A,"Tasting,",3011 RHODE ISLAND AVENUE NE,287376.00000000,402971.44000000,140658.50000000,Retail - Liquor Store
ABRA-009272,Strand Liquors,Sun Ok Kim,A,None,605 DIVISION AVENUE NE,5181.00000000,406440.57000000,136617.72000000,Retail - Liquor Store
ABRA-022581,Rocket Liquors,"Milka & Mann, Inc.",A,"Tasting,",900 KENNEDY STREET NW,285453.00000000,397747.68000000,143133.95000000,Retail - Liquor Store
ABRA-083221,Suburban Liquors,Suburban Liquors Inc.,A,None,4347 HUNT PLACE NE,22805.00000000,405257.61000000,136941.92000000,Retail - Liquor Store
ABRA-082349,Sunny's Liquor,"TF Two, Inc.",A,None,2400 MARTIN LUTHER KING JR AVENUE SE,278152.00000000,400667.44000000,132751.21000000,Retail - Liquor Store
ABRA-060657,Sunset Liquors,"Carnival, Inc.",A,None,1627 1ST STREET NW,218381.00000000,398961.92000000,138224.88000000,Retail - Liquor Store
ABRA-079241,Super Liquors,"Y.O.K., Inc.",A,None,1633 NORTH CAPITOL STREET NE,58903.00000000,399240.51000000,138287.26000000,Retail - Liquor Store
ABRA-026574,Syd's,2325 Bladensburg Rd Corp,A,"Tasting,",2325 BLADENSBURG ROAD NE,48573.00000000,402694.09000000,139244.36000000,Retail - Liquor Store
ABRA-077726,Sylvia's Liquors,"Tae Kwang, Inc.",A,None,1818 BENNING ROAD NE,286493.00000000,402014.55000000,136820.20000000,Retail - Liquor Store
ABRA-019598,Takoma Park Liquors,"Manee Enterprises, Inc.",A,"Tasting,",6200 EASTERN AVENUE NE,3698.00000000,399817.66000000,144131.79000000,Retail - Liquor Store
ABRA-000434,Target Liquor,Sheldon Plotnick,A,None,500 KENNEDY STREET NW,246781.00000000,398259.66000000,143145.77000000,Retail - Liquor Store
ABRA-078014,Tenley Wine & Liquors,"R&P Enterprises, LLC",A,"Tasting,",4525 WISCONSIN AVENUE NW,284935.00000000,393087.18000000,142315.72000000,Retail - Liquor Store
ABRA-060408,"The Country Vintner, Inc.","The Country Vintner, Inc.",A,None,2212 CHANNING STREET NE,286724.00000000,402321.64000000,139427.88000000,Wholesaler
ABRA-087410,The Local Vine Cellar Wine & Spirits,"Think Wine & Spirits Group, LLC",A,"Tasting,",1001 PENNSYLVANIA AVENUE NW,239376.00000000,397700.68000000,136355.77000000,Retail - Liquor Store
ABRA-087537,The Wine Specialist,"Wine Specialist Store, LLC",A,"Tasting,",2120 L STREET NW,242482.00000000,395870.79000000,137285.84000000,Retail - Liquor Store
ABRA-089004,The Woodner Market,Woodner Market LLC,A,None,3636 16TH STREET NW,243225.00000000,396769.33000000,140949.77000000,Retail - Liquor Store
ABRA-021972,Three Way Liquors Inc,"Three Way Liquors, Inc.",A,None,4823 GEORGIA AVENUE NW,252098.00000000,397675.24000000,142371.70000000,Retail - Liquor Store
ABRA-060471,Towne Liquors,"Towne Park, Inc.",A,None,1326 WISCONSIN AVENUE NW,279069.00000000,394488.42000000,137730.65000000,Retail - Liquor Store
ABRA-081775,Tradewinds Specialty Imports,"Tradewinds Specialty Imports, LLC",A,None,175 R STREET NE,300028.00000000,399642.96000000,138283.29000000,Wholesaler
ABRA-077663,Tunnel Fine Wines & Spirit,"Promise, Inc.",A,"Tasting,",311 H STREET NW,237746.00000000,398629.39000000,136952.71000000,Retail - Liquor Store
ABRA-085918,Uncle Lee's Seafood,"Eun & Peter, Inc.",A,"Tasting,",1102 EASTERN AVENUE NE,310132.00000000,406565.84000000,137369.53000000,Retail - Liquor Store
ABRA-079922,Union Liquors,Trabra Incorporated,A,"Tasting,",1537 GOOD HOPE ROAD SE,302014.00000000,401549.98000000,133141.29000000,Retail - Liquor Store
ABRA-013855,Union Wine & Liquor,"Union Wine & Liquor, Inc.",A,None,50 MASSACHUSETTS AVENUE NE,293243.00000000,399463.98000000,136632.07000000,Retail - Liquor Store
ABRA-072213,Universal Liquors,"Universal Daruwala, LLC",A,"Tasting,",2018 FLORIDA AVENUE NW,277142.00000000,396050.54000000,138520.62000000,Retail - Liquor Store
ABRA-089532,University Wine & Spirit,"ANS Enterprises, Inc.",A,"Tasting,",333 HAWAII AVENUE NE,290127.00000000,399925.06000000,141488.61000000,Retail - Liquor Store
ABRA-024362,Uptown Wine and Spirits,"Decatur Liquors, Inc.",A,"Tasting,",4704 14TH STREET NW,255669.00000000,397137.20000000,142175.15000000,Retail - Liquor Store
ABRA-075512,Van Ness Liquors,"Kamvs, LLC",A,"Tasting,",4201 CONNECTICUT AVENUE NW,220631.00000000,394570.14000000,141732.62000000,Retail - Liquor Store
ABRA-088173,Victor Liquors,6220 Georgia LLC,A,None,6220 GEORGIA AVENUE NW,253209.00000000,397577.17000000,144189.20000000,Retail - Liquor Store
ABRA-075971,"Vini, Inc.","Vini, Inc.",A,None,5766 2ND STREET NE,288721.00000000,399604.72000000,143420.32000000,Wholesaler
ABRA-080800,Virginia Market,"You Eighteen, LLC",A,"Tasting,",1776 U STREET NW,243131.00000000,396430.85000000,138767.41000000,Retail - Liquor Store
ABRA-089176,WAGNER'S LIQUORS,L & Z INCORPORATED,A,"Tasting,",1717 WISCONSIN AVENUE NW,261699.00000000,394214.09000000,138498.35000000,Retail - Liquor Store
ABRA-015699,Wagshalls Liquor & Deli,"F & A Enterprises, Inc",A,"Tasting,",4855 MASSACHUSETTS AVENUE NW,269572.00000000,391680.33000000,142022.56000000,Retail - Liquor Store
ABRA-075411,Walter Johnson's Liquor Store,"Richard Liquors, LLC",A,None,1542 NORTH CAPITOL STREET NW,302200.00000000,399183.45000000,138092.93000000,Retail - Liquor Store
ABRA-060518,"Washington Wholesale Liquor Company, LLC","Washington Wholesale Liquor Company, LLC",A,None,2800 V STREET NE,287275.00000000,402687.50000000,139127.37000000,Wholesaler
ABRA-015724,Washington Wine & Liquors,"S T C, Inc.",A,None,1200 E STREET NW,301972.00000000,397538.02000000,136461.12000000,Retail - Liquor Store
ABRA-078595,Watergate Wine and Beverage,"Watergate Wine and Spirits, Inc.",A,"Tasting,",2544 VIRGINIA AVENUE NW,300844.00000000,395254.20000000,136812.79000000,Retail - Liquor Store
ABRA-082076,Weltman's Liquors,"Uncha, Inc.",A,None,3938 MINNESOTA AVENUE NE,300614.00000000,404318.72000000,136264.08000000,Retail - Liquor Store
ABRA-074663,West End Market,Hwan P. Eun,A,"Tasting,",2424 PENNSYLVANIA AVENUE NW,279591.00000000,395465.86000000,137237.70000000,Retail - Liquor Store
ABRA-081464,Weygandt Wines,"Weygandt Wines, LLC",A,"Tasting,",3519 CONNECTICUT AVENUE NW,295765.00000000,394939.40000000,140937.28000000,Retail - Liquor Store
ABRA-088122,Wheeler Liquors,HR Enterprises Inc,A,None,4137 WHEELER ROAD SE,300967.00000000,400865.12000000,129513.66000000,Retail - Liquor Store
ABRA-072113,Whelans Liquors,"R.K.S.R., Inc.",A,"Tasting,",3903 12TH STREET NE,289602.00000000,400840.70000000,141067.56000000,Retail - Liquor Store
ABRA-022071,Wide World Of Wines,Evs Corporation,A,"Tasting,",2201 WISCONSIN AVENUE NW,275554.00000000,393904.31000000,139041.44000000,Retail - Liquor Store
ABRA-072284,Winebow,"Winebow Imports, Inc.",A,None,500 EMERSON STREET NE,15653.00000000,400104.20000000,142499.83000000,Wholesaler
ABRA-080559,Woodridge Vet's Liquors,"Brentwood Road Beverages, LLC",A,"Tasting,",1358 BRENTWOOD ROAD NE,149316.00000000,401217.94000000,139689.61000000,Retail - Liquor Store
ABRA-086912,Woodward Liquors,"Kay Dee, Inc.",A,None,6111 BLAIR ROAD NW,302128.00000000,398999.15000000,144065.02000000,Retail - Liquor Store
ABRA-000076,World Liquors,"World Liquors, Inc.",A,None,1453 PENNSYLVANIA AVENUE SE,62886.00000000,401400.58000000,134609.69000000,Retail - Liquor Store
ABRA-078871,Young Won,"Young Won Trading, Inc.",A,None,1336 5TH STREET NE,308263.00000000,400208.51000000,137982.36000000,Wholesaler
ABRA-077016,Young's Globe Liquors,"WJ Globe, Inc.",A,"Tasting,",4520 BENNING ROAD SE,278510.00000000,405493.83000000,135705.68000000,Retail - Liquor Store
ABRA-087686,3 Stars Brewing Company,"Three Stars Brewing Company, LLC",B,"Tasting,",6400 CHILLUM PLACE NW,277488.00000000,398895.95000000,144404.23000000,Manufacturer
ABRA-085708,Chocolate City Beer,Chocolate City Beer LLC,B,"Tasting,",2801 8TH STREET NE,44723.00000000,400456.87000000,139787.70000000,Manufacturer
ABRA-085083,DC Brau Brewing,"DC Brau Brewing, LLC",B,"Tasting,",3178 BLADENSBURG ROAD NE,301526.00000000,403451.11000000,140204.93000000,Manufacturer
ABRA-003439,Cookie's Corner,"Kim, Doo  Young",B,None,1970 2ND STREET NW,229716.00000000,398716.87000000,138850.39000000,Retail - Class B
ABRA-078242,13th Street Market,"E & K, LLC",B,None,3582 13TH STREET NW,230685.00000000,397401.77000000,140731.88000000,Retail - Class B
ABRA-080899,Shaw Howard Deli,"Dagemawe, LLC",B,None,1911 7TH STREET NW,218563.00000000,398116.28000000,138676.26000000,Retail - Class B
ABRA-082127,Lucky Corner Store,"GET, LLC",B,None,5433 GEORGIA AVENUE NW,285211.00000000,397597.58000000,143130.56000000,Retail - Class B
ABRA-082173,New Neighborhood Market,"Kyeong & Company, Inc.",B,None,1611 RHODE ISLAND AVENUE NE,59933.00000000,401624.55000000,139816.69000000,Retail - Class B
ABRA-082376,Lena Market,"Hope Market, Inc",B,None,1206 UNDERWOOD STREET NW,253290.00000000,397588.30000000,144538.20000000,Retail - Class B
ABRA-082769,Rainbow Market,"DK Food, Inc.",B,None,626 KENNEDY STREET NW,246750.00000000,398089.52000000,143144.97000000,Retail - Class B
ABRA-083125,Gee's Market,"Shitu, Inc.",B,None,3583 WARDER STREET NW,228659.00000000,398197.07000000,140775.32000000,Retail - Class B
ABRA-083203,Rock Creek Market,"Rock Creek Market, LLC",B,None,646 ROCK CREEK CHURCH ROAD NW,285338.00000000,398164.78000000,140996.59000000,Retail - Class B
ABRA-083937,Sun Market,"DJ Sun Market, Inc",B,None,415 RHODE ISLAND AVENUE NE,26073.00000000,400009.51000000,139085.69000000,Retail - Class B
ABRA-084939,Lee's Mini Market,"Lee's Mini Market, Inc.",B,None,3853 ALABAMA AVENUE SE,278435.00000000,404350.59000000,133153.35000000,Retail - Class B
ABRA-086230,Sara's Market,"HSA Investments, LLC",B,None,3008 Q STREET NW,223842.00000000,394824.06000000,138056.41000000,Retail - Class B
ABRA-086470,Anacostia Market,"F & A, Inc.",B,None,1303 GOOD HOPE ROAD SE,286027.00000000,401141.37000000,133222.52000000,Retail - Class B
ABRA-086607,The Cupboard,The Bodega Incorporated,B,None,1504 EAST CAPITOL STREET NE,62482.00000000,401444.06000000,135805.86000000,Retail - Class B
ABRA-086746,Open Door Market,"Open Door Market, Inc.",B,None,2160 CALIFORNIA STREET NW,218645.00000000,395779.24000000,138679.61000000,Retail - Class B
ABRA-087502,Fresh and Green,"Fresh & Green of Washington DC, LLC",B,"Tasting,",4330 48TH STREET NW,269574.00000000,391761.15000000,141987.30000000,Retail - Class B
ABRA-087621,Shipley Supermarket,"Shipley Supermarket, Inc",B,None,2283 SAVANNAH STREET SE,302047.00000000,402489.55000000,131087.28000000,Retail - Class B
ABRA-087729,U Street Wine and Beer,"STT Management, LLC",B,"Tasting,",1351 U STREET NW,240340.00000000,397301.50000000,138828.69000000,Retail - Class B
ABRA-087999,Argonne Market,"BJ & M, Inc.",B,None,1629 COLUMBIA ROAD NW,236284.00000000,396719.40000000,139801.74000000,Retail - Class B
ABRA-088380,Dollar Plus Food Store,FHRY INCORPORATED,B,None,4837 BENNING ROAD SE,16739.00000000,405767.26000000,134865.24000000,Retail - Class B
ABRA-088611,7TH L Street Market,L STREET MARKET INC.,B,None,700 L STREET SE,296.00000000,400351.15000000,134428.52000000,Retail - Class B
ABRA-088752,Hi  Market,"Hyeboong, Inc.",B,None,2655 15TH STREET NW,234268.00000000,396951.15000000,139648.55000000,Retail - Class B
ABRA-088815,Capitol Food Mart,Zembab Incorporated,B,None,1634 NORTH CAPITOL STREET NW,226794.00000000,399182.20000000,138252.24000000,Retail - Class B
ABRA-089069,Gedera Market,Askale Yaregal,B,None,4600 14TH STREET NW,255536.00000000,397139.14000000,142043.13000000,Retail - Class B
ABRA-079255,Pennsylvania Avenue Market,Young Hwa Corporation,B,None,1501 PENNSYLVANIA AVENUE SE,62617.00000000,401435.11000000,134594.19000000,Retail - Class B
ABRA-080595,"Travel Traders Retail, Inc","Travel Traders Retail, Inc",B,None,400 NEW JERSEY AVENUE NW,279731.00000000,398984.74000000,136391.14000000,Retail - Class B
ABRA-080716,P & C Market,"P & C Market, LLC",B,"Tasting,",1023 EAST CAPITOL STREET SE,75210.00000000,400719.18000000,135742.67000000,Retail - Class B
ABRA-086085,Patron Convenience Store,"JH Topia, Inc.",B,None,3235 PENNSYLVANIA AVENUE SE,278361.00000000,403562.46000000,133395.79000000,Retail - Class B
ABRA-070233,Shemali's,"Shemali's, Inc.",B,None,3306 WISCONSIN AVENUE NW,302276.00000000,393695.76000000,140654.58000000,Retail - Class B
ABRA-077310,Sunray Market,,B,None,3205 GEORGIA AVENUE NW,218154.00000000,397993.06000000,140261.30000000,Retail - Class B
ABRA-082219,TO BE  DETERMINED,Worko Bekele,B,None,2203 14TH STREET NW,240272.00000000,397254.08000000,139057.64000000,Retail - Class B
ABRA-090459,TO BE  DETERMINED,Worko Bekele,B,None,2203 14TH STREET NW,240272.00000000,397254.08000000,139057.64000000,Retail - Class B
ABRA-000249,Arthurs Grocery,"Cruel Jr., John Arthur",B,None,3301 11TH STREET NW,218169.00000000,397585.49000000,140335.79000000,Retail - Grocery
ABRA-000394,Rodman's Discount Drugs,Discount Drugs Wisconsin Inc,B,None,5100 WISCONSIN AVENUE NW,265883.00000000,392731.23000000,143165.70000000,Retail - Grocery
ABRA-001006,A Litteri Inc,A Litteri Inc,B,None,517 MORSE STREET NE,12159.00000000,400129.55000000,137674.77000000,Retail - Grocery
ABRA-001079,Food Town Market,To Duc Luu,B,None,4000 TUNLAW ROAD NW,224803.00000000,393041.79000000,139715.13000000,Retail - Grocery
ABRA-001111,Variety Market,"Charles Lucas Everett, Jr",B,None,1511 7TH STREET NW,238610.00000000,398120.11000000,138015.74000000,Retail - Grocery
ABRA-001213,B & M Food Store,Brenda Keys,B,None,215 NEW YORK AVENUE NW,279560.00000000,398768.91000000,137553.26000000,Retail - Grocery
ABRA-001688,Capitol Supermarket,Amko International Inc,B,"Tasting,",1231 11TH STREET NW,239341.00000000,397685.02000000,137659.43000000,Retail - Grocery
ABRA-001751,Metro K Supermarket,"Metro- K Supermarket, Inc.",B,None,1864 COLUMBIA ROAD NW,235402.00000000,396224.29000000,139209.43000000,Retail - Grocery
ABRA-002109,Kusa Market,Sook C Kim,B,None,3108 GEORGIA AVENUE NW,232889.00000000,397958.99000000,140169.19000000,Retail - Grocery
ABRA-003815,Freedom Market,Freedom Market Inc,B,None,1901 NEW HAMPSHIRE AVENUE NW,241927.00000000,396755.03000000,138654.51000000,Retail - Grocery
ABRA-005950,Wisemillers Grocery & Deli,Prester John's Corporation,B,None,1236 36TH STREET NW,272230.00000000,393892.71000000,137609.88000000,Retail - Grocery
ABRA-005985,Mudrick's Supermarket,Man Inc,B,None,1064 BLADENSBURG ROAD NE,276160.00000000,401640.09000000,137346.88000000,Retail - Grocery
ABRA-008809,Price's Grocery,Clinton Price,B,None,5018 ROCK CREEK CHURCH ROAD NE,302310.00000000,399280.60000000,142630.45000000,Retail - Grocery
ABRA-009593,Argyle Convenient Store,"Black Associates, Inc.",B,None,3220 17TH STREET NW,233527.00000000,396599.62000000,140491.36000000,Retail - Grocery
ABRA-010677,Suburban Market,Parker Enterprises Inc,B,None,4600 SHERIFF ROAD NE,19503.00000000,405510.15000000,137238.63000000,Retail - Grocery
ABRA-011202,Fort Drum Market,Fort Drum Corporation,B,None,4686 MARTIN LUTHER KING JR AVENUE SW,18335.00000000,399073.56000000,128130.07000000,Retail - Grocery
ABRA-011247,Super Saver Grocery & Deli,Lydia Assefa,B,None,4413 14TH STREET NW,277407.00000000,397186.79000000,141867.39000000,Retail - Grocery
ABRA-011714,Langdon Market,"Langdon Market, Inc.",B,None,2409 FRANKLIN STREET NE,47576.00000000,402464.45000000,139720.13000000,Retail - Grocery
ABRA-012327,Anacostia Warehouse Supermarket,"KCK, Inc.",B,None,1918 14TH STREET SE,286536.00000000,401318.64000000,133179.94000000,Retail - Grocery
ABRA-017308,Nick's Riverside Grille,"PPT, Inc.",C,"Summer Garden, Entertainment, Cover Charge",3050 K STREET NW,300691.00000000,394715.84000000,137122.85000000,Restaurant
ABRA-017452,Pasta Mia,Mirob Inc.,C,None,1790 COLUMBIA ROAD NW,236641.00000000,396341.61000000,139426.45000000,Restaurant
ABRA-019002,Westchester Dining Room,The Muslu Corporation,C,None,4000 CATHEDRAL AVENUE NW,223991.00000000,393079.31000000,140064.10000000,Restaurant
ABRA-019105,Jaleo,Tapas Y Mas Inc.,C,"Sidewalk Cafe,",480 7TH STREET NW,301787.00000000,398077.50000000,136453.09000000,Restaurant
ABRA-019130,"49 Twelve Thai Cuisine,inc.","49 Twelve Thai Cuisine, Inc.",C,"Sidewalk Cafe,",4912 WISCONSIN AVENUE NW,266071.00000000,392837.52000000,142889.31000000,Restaurant
ABRA-019269,Coppi's Pizza,"1414 U Street Restaurant, Inc.",C,"Entertainment,",1414 U STREET NW,301495.00000000,397172.75000000,138775.27000000,Restaurant
ABRA-019300,Makoto Restaurant,Silver Rooster Corporation,C,None,4822 MACARTHUR BOULEVARD NW,284973.00000000,391642.44000000,138767.18000000,Restaurant
ABRA-020060,Bertucci's Brick Oven Pizzeria,Bertucci's Restaurant Corporation,C,None,2000 PENNSYLVANIA AVENUE NW,243283.00000000,396029.25000000,136945.71000000,Restaurant
ABRA-020080,Vidalia,"Half-Baked, Inc.",C,None,1990 M STREET NW,241073.00000000,396138.83000000,137513.34000000,Restaurant
ABRA-020092,Kinkead's,Restaurant 2000 Corporation,C,"Sidewalk Cafe, Entertainment,",2000 PENNSYLVANIA AVENUE NW,243283.00000000,396029.25000000,136945.71000000,Restaurant
ABRA-020102,Awash,Makamboo Corp.,C,"Sidewalk Cafe, Entertainment,",2218 18TH STREET NW,243161.00000000,396371.41000000,139048.93000000,Restaurant
ABRA-020177,Otello,CSM Inc.,C,None,1329 CONNECTICUT AVENUE NW,241266.00000000,396344.03000000,137808.86000000,Restaurant
ABRA-020251,Little Fountain Cafe/Angles,Little Fountain Cafe Inc.,C,"Sidewalk Cafe,",2339 18TH STREET NW,235587.00000000,396386.58000000,139198.51000000,Restaurant
ABRA-020468,Restaurant Judy,Humberto Lopez,C,"Entertainment, Dancing,",2212 14TH STREET NW,242862.00000000,397199.85000000,139087.19000000,Restaurant
ABRA-020640,Heritage India/Asia,"Shamiana, LLC",C,None,2400 WISCONSIN AVENUE NW,289364.00000000,393722.62000000,139260.83000000,Restaurant
ABRA-020711,Thunder Burger & Bar,"Kabila, Inc.",C,None,3056 M STREET NW,277237.00000000,394742.41000000,137459.51000000,Restaurant
ABRA-021020,Neyla,"Crepizza, Inc.",C,"Summer Garden,",3206 N STREET NW,302269.00000000,394499.45000000,137648.69000000,Restaurant
ABRA-021207,B Smith's,"Finally Free, Inc.",C,"Entertainment,",50 MASSACHUSETTS AVENUE NE,293243.00000000,399463.98000000,136632.07000000,Restaurant
ABRA-021395,The Oval Room,Oval Room LLC,C,"Sidewalk Cafe,",800 CONNECTICUT AVENUE NW,301059.00000000,396665.25000000,136950.64000000,Restaurant
ABRA-021540,Haad Thai Restaurant,"Haad Thai Restaurant, Inc.",C,None,1100 NEW YORK AVENUE NW,297684.00000000,397619.45000000,136979.92000000,Restaurant
ABRA-021599,Arucola,"D B Restaurant, Inc.",C,"Sidewalk Cafe,",5534 CONNECTICUT AVENUE NW,263851.00000000,393446.36000000,144038.50000000,Restaurant
ABRA-021676,Spices Restaurant,Yanlim Inc.,C,None,3333 CONNECTICUT AVENUE NW,284639.00000000,395021.16000000,140734.53000000,Restaurant
ABRA-021784,New Orleans Cafe,Bardia's Inc.,C,None,2412 18TH STREET NW,235401.00000000,396321.58000000,139249.18000000,Restaurant
ABRA-021918,Bistro Lepic,"Cec, Inc.",C,"Entertainment,",1736 WISCONSIN AVENUE NW,273617.00000000,394155.43000000,138531.70000000,Restaurant
ABRA-021925,Don Jaime,Jamie T. Carrillo,C,"Entertainment, Dancing, Cover Charge",3209 MOUNT PLEASANT STREET NW,233543.00000000,396686.25000000,140400.79000000,Restaurant
ABRA-021995,Pines Of Florence,Pines Restaurant Inc.,C,None,2100 CONNECTICUT AVENUE NW,234998.00000000,395861.28000000,138898.69000000,Restaurant
ABRA-022027,Clyde's,"Clyde's of Georgetown, Inc.",C,"Entertainment, Dancing,",3236 M STREET NW,279678.00000000,394446.85000000,137462.13000000,Restaurant
ABRA-022105,Union Pub,Red River Grill L L C,C,"Sidewalk Cafe,",201 MASSACHUSETTS AVENUE NE,286590.00000000,399750.14000000,136308.00000000,Restaurant
