LICENSE,TRADE_NAME,APPLICANT,CLASS,ENDORSEMEN,ADDRESS,ADDRID,X,Y,DESCRIPTIO
ABRA-086700,The Getaway,"Tres Amigos, LLC",C,"Summer Garden, Sidewalk Cafe,",1400 MERIDIAN PLACE NW,308569.00000000,397141.58000000,140608.79000000,Restaurant
ABRA-086724,Le Grenier,"Style Concept Studio, LLC",C,None,502 H STREET NE,14861.00000000,400066.49000000,136950.93000000,Restaurant
ABRA-086726,Circa at Foggy Bottom,"MHG Cafe Foggy Bottom, LLC",C,"Summer Garden,",2221 I STREET NW,307441.00000000,395697.09000000,137008.11000000,Restaurant
ABRA-086790,Salt & Pepper,"Good Neighbors, LLC",C,"Summer Garden,",5125 MACARTHUR BOULEVARD NW,224084.00000000,391174.74000000,139754.04000000,Restaurant
ABRA-086825,Bistro Bohem,"Bohemian Restaurants, LLC",C,"Sidewalk Cafe,",600 FLORIDA AVENUE NW,218689.00000000,398248.28000000,138612.72000000,Restaurant
ABRA-086859,Tortilla Coast,"Clover Logan Circle, LLC",C,"Summer Garden,",1460 P STREET NW,243273.00000000,397037.63000000,137954.93000000,Restaurant
ABRA-086876,Bistro 18,"Sami Restaurant, LLC",C,None,2420 18TH STREET NW,243166.00000000,396315.24000000,139267.12000000,Restaurant
ABRA-086892,Mama Chuy DC,"Mama Chuy Dc, Inc.",C,"Summer Garden,",2620 GEORGIA AVENUE NW,232391.00000000,398014.84000000,139659.06000000,Restaurant
ABRA-086918,Little Viet Garden,Saigon Ventures LLC,C,"Summer Garden,",2934 M STREET NW,302256.00000000,394879.27000000,137468.61000000,Restaurant
ABRA-086961,Joes Noodle House,"T & L Investment Group, LLC",C,None,2700 NEW YORK AVENUE NE,287175.00000000,402549.67000000,138901.29000000,Restaurant
ABRA-087025,Agora,Agora Inc,C,"Sidewalk Cafe,",1527 17TH STREET NW,218330.00000000,396689.34000000,138091.12000000,Restaurant
ABRA-087031,Elisir Restaurant,Cucina Moderna LLC,C,"Sidewalk Cafe, Entertainment,",427 11TH STREET NW,298762.00000000,397674.36000000,136435.08000000,Restaurant
ABRA-087042,Rasika West End,Rasika West End LLC,C,"Sidewalk Cafe,",1177 22ND STREET NW,303055.00000000,395786.40000000,137423.52000000,Restaurant
ABRA-087084,Bobby's Burger Palace,"BBP K Street, LLC",C,None,2121 K STREET NW,243319.00000000,395902.54000000,137224.31000000,Restaurant
ABRA-087236,New Big Wong,"Yuan Profit, Inc.",C,None,610 H STREET NW,238706.00000000,398210.96000000,136854.77000000,Restaurant
ABRA-087273,Lillie's Restaurant,Panini LLC,C,"Sidewalk Cafe,",2915 CONNECTICUT AVENUE NW,219217.00000000,395308.91000000,140088.61000000,Restaurant
ABRA-087348,Shanghai Lounge,"Washington Wanbao, Inc",C,None,1734 WISCONSIN AVENUE NW,273634.00000000,394158.46000000,138526.86000000,Restaurant
ABRA-087422,Dangerously Delicious DC,Dangerously Delicious DC LLC,C,"Entertainment, Dancing,",1339 H STREET NE,286078.00000000,401134.42000000,136896.27000000,Restaurant
ABRA-087549,Boxcar,"Eastern Market Entertainment, LLC",C,None,224 7TH STREET SE,49542.00000000,400355.23000000,135412.24000000,Restaurant
ABRA-087556,Unum,"Next Door Dining, LLC",C,None,2917 M STREET NW,295042.00000000,394911.88000000,137502.39000000,Restaurant
ABRA-087574,New District Kitchen,District Kitchen LLC,C,"Sidewalk Cafe,",2606 CONNECTICUT AVENUE NW,284429.00000000,395480.22000000,139558.52000000,Restaurant
ABRA-087585,Marrakech Lounge,Ahmed Ouihman Enterprises LLC,C,"Sidewalk Cafe, Entertainment,",1817 COLUMBIA ROAD NW,235377.00000000,396215.09000000,139343.54000000,Restaurant
ABRA-087661,Town Hall,"Five Glovers, LLC",C,"Summer Garden,",2340 WISCONSIN AVENUE NW,275327.00000000,393732.72000000,139235.95000000,Restaurant
ABRA-087728,AL DENTE,"Golden Eagle, Inc.",C,"Summer Garden,",3201 NEW MEXICO AVENUE NW,223998.00000000,392652.26000000,140583.03000000,Restaurant
ABRA-087730,Tortino Restaurant,"Tortino Restaurant, Inc.",C,"Entertainment, Dancing,",1228 11TH STREET NW,278971.00000000,397628.77000000,137634.95000000,Restaurant
ABRA-087794,Boqueria,Boqueria DC LLC,C,"Sidewalk Cafe,",1837 M STREET NW,242817.00000000,396251.11000000,137553.19000000,Restaurant
ABRA-087813,Pho Bar And Grill,Ara Restaurant Group  LLC,C,None,1360 H STREET NE,65777.00000000,401189.60000000,136954.68000000,Restaurant
ABRA-087902,Tangier Lounge,Tanger Corporation,C,None,2305 18TH STREET NW,226269.00000000,396407.60000000,139108.50000000,Restaurant
ABRA-087904,Noodles & Company,"The Noodle Shop Co.-Colorado, Inc.",C,"Sidewalk Cafe,",2635 CONNECTICUT AVENUE NW,284445.00000000,395516.23000000,139642.00000000,Restaurant
ABRA-086529,Lavagna,"Good Food, LLC",C,None,539 8TH STREET SE,9343.00000000,400404.13000000,134862.86000000,Restaurant
ABRA-088012,Rosa Mexicano,"Rosa Mexicano Chevy Chase Maryland, LLC",C,"Sidewalk Cafe, Entertainment,",5225 WISCONSIN AVENUE NW,265902.00000000,392711.93000000,143389.49000000,Restaurant
